field_1,Codigo,Nombre,Elevacion,Lat,Lon,Norte,Este
"65","21245040",AEROPUERTO PERALES,"943",4.424138890000000,-75.139416670000003,2047205.774960,4762681.226303
"66","27020200",CEDENO,"2400",7.070722220000000,-75.355583330000002,2339962.194173,4739895.324981
"67","26210070",CAICEDO,"550",6.405972220000000,-75.981277779999999,2266805.822544,4670301.833052
"68","25020410",CANDELARIA LA,"28",8.219444440000000,-74.728750000000005,2466654.517043,4809644.716628
"69","21010130",BAJO FRUTAL,"1660",1.810388890000000,-76.246694439999999,1758396.015854,4638853.578532
"70","27030210",ZARAGOZA,"50",7.486222220000000,-74.872388889999996,2385657.822329,4793461.098273
"71","26220100",GRANJA LA,"1950",7.249638890000000,-75.734083330000004,2359983.825422,4698190.139014
"72","26220110",SANTA RITA,"530",7.323750000000000,-75.616861110000002,2368105.344145,4711186.555093
"73","21020050",PUENTE SALADOBLANC,"146",1.984222220000000,-76.013750000000002,1777584.254770,4664823.667229
"74","21110070",BARAYA,"615",3.150333330000000,-75.057333330000006,1906345.769890,4771456.284670
"75","24040050",SANTA ISABEL,"1300",6.644444440000000,-73.202777780000005,2292203.946722,4977595.384771
"76","23190710",BARRANCA LEBRIJA,"50",8.011833330000000,-73.724444439999999,2443371.510559,4920199.002765
"77","26020120",CALOTO,"1136",3.030083330000000,-76.406666670000007,1893429.422038,4621377.814220
"78","24050060",SAN VICENTE,"721",6.872777780000000,-73.410833330000003,2317449.929712,4954628.640726
"79","21010180",TABOR EL,"1700",1.695277780000000,-76.155222219999999,1745640.352369,4649017.517934
"80","21110290",VICTORIA LA,"400",3.349555560000000,-75.170305560000003,1928398.984771,4758947.972092
"81","26230140",PLACITA LA,"1250",6.720888890000000,-75.758055560000003,2301505.603198,4695199.205487
"82","27010880",MONTANITAS,"2630",6.702861110000000,-75.392222219999994,2299298.878309,4735643.560639
"83","24010640",BOLIVAR,"2165",5.986111110000000,-73.770833330000002,2219513.844596,4914721.758628
"84","23120210",COPER,"190",5.474666670000000,-74.045916669999997,2163041.861853,4884183.024310
